Disposition,OffenderStatus,Offender_Race,Offender_Gender,Offender_Age,PersonType,Victim_Race,Victim_Gender,Victim_Age,Victim_Fatal_Status,Report Type,Category
OPEN,ARRESTED,BLACK,MALE,30,VICTIM,BLACK,FEMALE,43,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,47,VICTIM,BLACK,FEMALE,40,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,47,VICTIM,BLACK,FEMALE,40,Non-fatal,Supplemental Report,Violence
OPEN,ARRESTED,BLACK,MALE,30,VICTIM,BLACK,FEMALE,20,Non-fatal,Incident Report,Miscellaneous
OPEN,ARRESTED,BLACK,FEMALE,33,VICTIM,BLACK,FEMALE,20,Non-fatal,Incident Report,Miscellaneous
OPEN,ARRESTED,BLACK,FEMALE,20,VICTIM,BLACK,FEMALE,33,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,WHITE,MALE,41,VICTIM,WHITE,FEMALE,35,Non-fatal,Incident Report,Vandalism
CLOSED,ARRESTED,WHITE,MALE,41,VICTIM,WHITE,FEMALE,35,Non-fatal,Incident Report,Vandalism
OPEN,ARRESTED,BLACK,MALE,22,VICTIM,BLACK,FEMALE,50,Non-fatal,Incident Report,Theft
CLOSED,ARRESTED,WHITE,MALE,32,VICTIM,WHITE,MALE,67,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,16,VICTIM,BLACK,FEMALE,17,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,42,VICTIM,BLACK,FEMALE,50,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,58,VICTIM,BLACK,FEMALE,54,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,58,VICTIM,BLACK,FEMALE,54,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,58,VICTIM,BLACK,FEMALE,54,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,28,VICTIM,BLACK,FEMALE,50,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,WHITE,MALE,35,VICTIM,WHITE,FEMALE,60,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,WHITE,MALE,46,VICTIM,BLACK,FEMALE,48,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,WHITE,MALE,46,VICTIM,BLACK,FEMALE,48,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,29,VICTIM,WHITE,FEMALE,56,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,WHITE,FEMALE,56,VICTIM,BLACK,FEMALE,44,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,WHITE,MALE,29,VICTIM,BLACK,FEMALE,44,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,FEMALE,27,VICTIM,BLACK,FEMALE,53,Non-fatal,Incident Report,Theft
CLOSED,ARRESTED,BLACK,FEMALE,27,VICTIM,BLACK,FEMALE,53,Non-fatal,Incident Report,Theft
CLOSED,ARRESTED,BLACK,FEMALE,27,VICTIM,BLACK,FEMALE,31,Non-fatal,Incident Report,Theft
OPEN,ARRESTED,BLACK,MALE,18,VICTIM,BLACK,MALE,38,Non-fatal,Supplemental Report,Theft
OPEN,ARRESTED,BLACK,MALE,33,VICTIM,BLACK,FEMALE,38,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,FEMALE,15,VICTIM,BLACK,FEMALE,13,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,14,VICTIM,BLACK,FEMALE,13,Non-fatal,Supplemental Report,Violence
OPEN,ARRESTED,BLACK,MALE,25,VICTIM,WHITE,MALE,22,Non-fatal,Incident Report,Miscellaneous
OPEN,ARRESTED,BLACK,MALE,34,VICTIM,WHITE,MALE,22,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,30,VICTIM,BLACK,MALE,38,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,38,VICTIM,BLACK,MALE,30,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,35,VICTIM,BLACK,FEMALE,23,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,23,VICTIM,BLACK,FEMALE,21,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,23,VICTIM,BLACK,FEMALE,21,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,42,VICTIM,BLACK,FEMALE,32,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,42,VICTIM,BLACK,FEMALE,32,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,WHITE,MALE,64,VICTIM,WHITE,FEMALE,28,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,54,VICTIM,UNKNOWN,MALE,38,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,WHITE,MALE,29,VICTIM,BLACK,MALE,35,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,FEMALE,20,VICTIM,BLACK,MALE,27,Non-fatal,Incident Report,Vandalism
OPEN,ARRESTED,BLACK,MALE,68,VICTIM,BLACK,FEMALE,59,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,34,VICTIM,WHITE,MALE,70,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,34,VICTIM,WHITE,MALE,70,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,19,VICTIM,BLACK,FEMALE,31,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,WHITE,FEMALE,62,VICTIM,WHITE,FEMALE,40,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,WHITE,FEMALE,62,VICTIM,WHITE,FEMALE,40,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,WHITE,FEMALE,34,VICTIM,WHITE,FEMALE,40,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,WHITE,MALE,30,VICTIM,WHITE,FEMALE,32,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,21,VICTIM,BLACK,MALE,74,Non-fatal,Incident Report,Vandalism
CLOSED,ARRESTED,BLACK,MALE,39,VICTIM,WHITE,FEMALE,33,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,WHITE,MALE,51,VICTIM,BLACK,FEMALE,33,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,38,VICTIM,BLACK,FEMALE,31,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,31,VICTIM,BLACK,FEMALE,51,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,31,VICTIM,BLACK,FEMALE,51,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,31,VICTIM,BLACK,FEMALE,51,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,31,VICTIM,BLACK,FEMALE,51,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,31,VICTIM,BLACK,MALE,54,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,FEMALE,28,VICTIM,BLACK,FEMALE,35,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,WHITE,FEMALE,29,VICTIM,WHITE,MALE,34,Non-fatal,Incident Report,Theft
CLOSED,ARRESTED,WHITE,FEMALE,29,VICTIM,WHITE,MALE,27,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,24,VICTIM,BLACK,FEMALE,25,Non-fatal,Incident Report,Vandalism
CLOSED,ARRESTED,BLACK,MALE,24,VICTIM,WHITE,MALE,29,Non-fatal,Incident Report,Vandalism
CLOSED,ARRESTED,BLACK,MALE,28,VICTIM,BLACK,MALE,37,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,61,VICTIM,BLACK,FEMALE,60,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,61,VICTIM,BLACK,FEMALE,60,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,30,VICTIM,BLACK,MALE,16,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,42,VICTIM,BLACK,FEMALE,41,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,56,VICTIM,WHITE,FEMALE,21,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,44,VICTIM,BLACK,FEMALE,43,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,56,VICTIM,WHITE,FEMALE,21,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,16,VICTIM,WHITE,FEMALE,43,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,15,VICTIM,WHITE,FEMALE,43,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,FEMALE,49,VICTIM,BLACK,MALE,49,Non-fatal,Supplemental Report,Vandalism
CLOSED,ARRESTED,WHITE,MALE,11,VICTIM,WHITE,FEMALE,51,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,WHITE,MALE,11,VICTIM,BLACK,FEMALE,27,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,WHITE,MALE,11,VICTIM,BLACK,MALE,62,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,WHITE,MALE,11,VICTIM,BLACK,MALE,4,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,WHITE,MALE,53,VICTIM,BLACK,FEMALE,32,Non-fatal,Incident Report,Vandalism
CLOSED,ARRESTED,WHITE,MALE,50,VICTIM,BLACK,FEMALE,32,Non-fatal,Incident Report,Vandalism
CLOSED,ARRESTED,BLACK,MALE,57,VICTIM,BLACK,FEMALE,52,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,57,VICTIM,BLACK,FEMALE,52,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,49,VICTIM,BLACK,MALE,49,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,49,VICTIM,BLACK,MALE,49,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,44,VICTIM,WHITE,MALE,49,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,32,VICTIM,BLACK,FEMALE,34,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,32,VICTIM,BLACK,FEMALE,34,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,32,VICTIM,BLACK,FEMALE,34,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,26,VICTIM,BLACK,FEMALE,26,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,26,VICTIM,BLACK,FEMALE,26,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,26,VICTIM,BLACK,FEMALE,26,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,19,VICTIM,BLACK,FEMALE,16,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,30,VICTIM,BLACK,FEMALE,30,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,22,VICTIM,BLACK,FEMALE,18,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,42,VICTIM,BLACK,FEMALE,48,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,28,VICTIM,BLACK,FEMALE,38,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,28,VICTIM,BLACK,FEMALE,17,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,22,VICTIM,BLACK,FEMALE,18,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,42,VICTIM,WHITE,FEMALE,34,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,30,VICTIM,BLACK,FEMALE,30,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,WHITE,MALE,34,VICTIM,WHITE,FEMALE,65,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,43,VICTIM,BLACK,FEMALE,20,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,UNKNOWN,MALE,35,VICTIM,UNKNOWN,FEMALE,34,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,WHITE,MALE,28,VICTIM,WHITE,FEMALE,28,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,43,VICTIM,BLACK,FEMALE,47,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,WHITE,MALE,33,VICTIM,WHITE,FEMALE,24,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,40,VICTIM,BLACK,MALE,25,Non-fatal,Incident Report,Theft
CLOSED,ARRESTED,BLACK,MALE,31,VICTIM,BLACK,MALE,4,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,FEMALE,28,VICTIM,BLACK,MALE,60,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,60,VICTIM,BLACK,FEMALE,28,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,18,VICTIM,BLACK,MALE,57,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,16,VICTIM,BLACK,MALE,73,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,18,VICTIM,BLACK,MALE,73,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,WHITE,MALE,46,VICTIM,BLACK,MALE,61,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,WHITE,MALE,46,VICTIM,BLACK,MALE,32,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,WHITE,MALE,46,VICTIM,WHITE,FEMALE,28,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,36,VICTIM,WHITE,FEMALE,71,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,33,VICTIM,BLACK,FEMALE,19,Non-fatal,Incident Report,Theft
CLOSED,ARRESTED,WHITE,MALE,67,VICTIM,BLACK,MALE,66,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,18,VICTIM,BLACK,FEMALE,23,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,31,VICTIM,BLACK,FEMALE,36,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,31,VICTIM,BLACK,FEMALE,36,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,WHITE,MALE,36,VICTIM,WHITE,FEMALE,32,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,32,VICTIM,BLACK,FEMALE,32,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,32,VICTIM,BLACK,FEMALE,32,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,32,VICTIM,BLACK,FEMALE,32,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,17,VICTIM,BLACK,MALE,49,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,44,VICTIM,BLACK,FEMALE,39,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,40,VICTIM,BLACK,FEMALE,29,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,40,VICTIM,BLACK,FEMALE,29,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,40,VICTIM,BLACK,FEMALE,29,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,40,VICTIM,BLACK,FEMALE,29,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,40,VICTIM,BLACK,MALE,4,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,30,VICTIM,BLACK,FEMALE,31,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,30,VICTIM,BLACK,FEMALE,31,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,30,VICTIM,BLACK,FEMALE,31,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,30,VICTIM,BLACK,MALE,32,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,30,VICTIM,BLACK,MALE,32,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,40,VICTIM,BLACK,FEMALE,29,Non-fatal,Supplemental Report,Vandalism
CLOSED,ARRESTED,BLACK,MALE,40,VICTIM,BLACK,FEMALE,29,Non-fatal,Supplemental Report,Vandalism
CLOSED,ARRESTED,BLACK,MALE,40,VICTIM,BLACK,FEMALE,29,Non-fatal,Supplemental Report,Vandalism
CLOSED,ARRESTED,BLACK,MALE,26,VICTIM,BLACK,MALE,29,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,26,VICTIM,BLACK,MALE,29,Non-fatal,Incident Report,Violence
OPEN,ARRESTED,BLACK,FEMALE,40,VICTIM,BLACK,MALE,47,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,25,VICTIM,BLACK,FEMALE,28,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,25,VICTIM,BLACK,FEMALE,28,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,25,VICTIM,BLACK,FEMALE,28,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,19,VICTIM,BLACK,FEMALE,26,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,WHITE,MALE,55,VICTIM,BLACK,MALE,57,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,WHITE,MALE,55,VICTIM,BLACK,MALE,57,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,WHITE,MALE,55,VICTIM,BLACK,MALE,57,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,WHITE,MALE,55,VICTIM,BLACK,MALE,57,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,WHITE,MALE,29,VICTIM,WHITE,FEMALE,34,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,32,VICTIM,BLACK,FEMALE,28,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,32,VICTIM,BLACK,FEMALE,28,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,32,VICTIM,BLACK,FEMALE,28,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,46,VICTIM,BLACK,FEMALE,25,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,46,VICTIM,BLACK,FEMALE,25,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,19,VICTIM,BLACK,MALE,26,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,FEMALE,17,VICTIM,BLACK,FEMALE,19,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,FEMALE,16,VICTIM,BLACK,FEMALE,19,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,FEMALE,18,VICTIM,BLACK,FEMALE,19,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,FEMALE,18,VICTIM,BLACK,FEMALE,19,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,FEMALE,19,VICTIM,BLACK,FEMALE,19,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,60,VICTIM,BLACK,MALE,57,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,22,VICTIM,WHITE,MALE,64,Non-fatal,Incident Report,Theft
CLOSED,ARRESTED,BLACK,MALE,20,VICTIM,WHITE,MALE,64,Non-fatal,Incident Report,Theft
CLOSED,ARRESTED,BLACK,MALE,18,VICTIM,BLACK,FEMALE,24,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,32,VICTIM,BLACK,FEMALE,56,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,WHITE,MALE,37,VICTIM,WHITE,MALE,24,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,34,VICTIM,ASIAN,MALE,34,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,39,VICTIM,BLACK,MALE,14,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,36,VICTIM,WHITE,FEMALE,33,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,36,VICTIM,WHITE,FEMALE,33,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,WHITE,MALE,32,VICTIM,WHITE,FEMALE,33,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,WHITE,MALE,32,VICTIM,WHITE,FEMALE,33,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,38,VICTIM,BLACK,MALE,29,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,22,VICTIM,BLACK,FEMALE,17,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,22,VICTIM,BLACK,FEMALE,17,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,40,VICTIM,WHITE,FEMALE,54,Non-fatal,Incident Report,Theft
CLOSED,ARRESTED,BLACK,MALE,21,VICTIM,BLACK,FEMALE,19,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,21,VICTIM,BLACK,FEMALE,19,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,21,VICTIM,BLACK,MALE,20,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,21,VICTIM,BLACK,MALE,20,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,32,VICTIM,BLACK,FEMALE,50,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,WHITE,FEMALE,38,VICTIM,WHITE,MALE,41,Non-fatal,Incident Report,Theft
CLOSED,ARRESTED,WHITE,FEMALE,38,VICTIM,WHITE,MALE,41,Non-fatal,Incident Report,Theft
CLOSED,ARRESTED,WHITE,MALE,42,VICTIM,BLACK,FEMALE,38,Non-fatal,Supplemental Report,Miscellaneous
OPEN,ARRESTED,BLACK,MALE,29,VICTIM,BLACK,MALE,29,Non-fatal,Incident Report,Miscellaneous
OPEN,ARRESTED,BLACK,MALE,57,VICTIM,BLACK,MALE,29,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,FEMALE,31,VICTIM,BLACK,FEMALE,57,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,31,VICTIM,WHITE,FEMALE,45,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,28,VICTIM,BLACK,FEMALE,33,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,28,VICTIM,BLACK,FEMALE,33,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,28,VICTIM,BLACK,FEMALE,27,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,70,VICTIM,BLACK,MALE,1,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,18,VICTIM,BLACK,FEMALE,15,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,18,VICTIM,BLACK,FEMALE,15,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,18,VICTIM,BLACK,FEMALE,15,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,21,VICTIM,BLACK,FEMALE,22,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,21,VICTIM,BLACK,FEMALE,22,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,39,VICTIM,BLACK,FEMALE,38,Non-fatal,Incident Report,Theft
CLOSED,ARRESTED,BLACK,MALE,69,VICTIM,BLACK,FEMALE,71,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,20,VICTIM,BLACK,FEMALE,44,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,32,VICTIM,WHITE,FEMALE,28,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,32,VICTIM,WHITE,MALE,52,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,32,VICTIM,WHITE,FEMALE,35,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,19,VICTIM,BLACK,MALE,20,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,64,VICTIM,BLACK,MALE,53,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,24,VICTIM,WHITE,FEMALE,54,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,FEMALE,24,VICTIM,WHITE,FEMALE,54,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,FEMALE,24,VICTIM,WHITE,FEMALE,54,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,UNKNOWN,MALE,38,VICTIM,BLACK,FEMALE,64,Non-fatal,Incident Report,Theft
CLOSED,ARRESTED,BLACK,FEMALE,42,VICTIM,BLACK,FEMALE,49,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,33,VICTIM,BLACK,FEMALE,77,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,28,VICTIM,BLACK,FEMALE,24,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,33,VICTIM,BLACK,FEMALE,77,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,BLACK,FEMALE,33,VICTIM,BLACK,FEMALE,6,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,BLACK,FEMALE,33,VICTIM,BLACK,MALE,9,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,32,VICTIM,WHITE,FEMALE,21,Fatal,Supplemental Report,Violence
OPEN,ARRESTED,UNKNOWN,MALE,23,VICTIM,BLACK,FEMALE,24,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,56,VICTIM,BLACK,FEMALE,42,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,14,VICTIM,WHITE,FEMALE,38,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,14,VICTIM,WHITE,FEMALE,38,Non-fatal,Supplemental Report,Theft
